n1, n2, n3, alg, wt_c1, tat_c1, wt_c2, tat_c2, wt_c3, tat_c3,
1000, 100, 1000000, RR, 0.099, 22.476, 22.482, 28.067, 88.726, 231.317, 
1000, 100, 1000000, FCFS, 0.033, 36.982, 36.987, 46.192, 46.195, 181.726, 
1000, 1000, 10, RR, 0.015, 30.675, 30.680, 44.481, 44.523, 56.750, 
1000, 1000, 10, FCFS, 0.054, 30.268, 30.292, 36.331, 36.334, 41.213, 
1000, 1000, 100, RR, 0.031, 37.170, 37.181, 42.517, 42.525, 55.260, 
1000, 1000, 100, FCFS, 0.080, 13.543, 13.569, 32.115, 32.120, 32.415, 
1000, 1000, 1000, RR, 0.022, 35.729, 35.736, 41.453, 41.460, 53.913, 
1000, 1000, 1000, FCFS, 0.040, 18.277, 18.280, 38.808, 38.815, 41.696, 
1000, 1000, 10000, RR, 0.039, 37.520, 37.530, 45.836, 45.859, 57.341, 
1000, 1000, 10000, FCFS, 0.063, 34.777, 34.784, 62.285, 62.294, 69.718, 
1000, 1000, 100000, RR, 0.125, 25.444, 25.469, 32.218, 32.403, 70.187, 
1000, 1000, 100000, FCFS, 0.081, 10.156, 10.158, 27.770, 27.780, 62.493, 
1000, 1000, 1000000, RR, 0.025, 44.938, 44.945, 50.443, 84.205, 215.521, 
1000, 1000, 1000000, FCFS, 0.031, 18.542, 18.545, 62.515, 62.524, 206.972, 
1000, 10000, 10, RR, 0.015, 39.307, 59.691, 84.704, 46.085, 51.787, 
1000, 10000, 10, FCFS, 0.025, 24.031, 24.053, 58.288, 58.295, 58.519, 
1000, 10000, 100, RR, 0.027, 16.511, 27.876, 79.284, 44.915, 51.396, 
1000, 10000, 100, FCFS, 0.023, 12.924, 12.927, 83.392, 83.399, 86.007, 
1000, 10000, 1000, RR, 0.023, 33.041, 53.618, 90.257, 55.805, 64.305, 
1000, 10000, 1000, FCFS, 0.025, 30.867, 30.893, 94.220, 94.223, 94.707, 
1000, 10000, 10000, RR, 0.012, 35.796, 54.750, 73.293, 40.997, 59.710, 
1000, 10000, 10000, FCFS, 0.018, 36.916, 36.951, 143.205, 143.212, 145.019, 
1000, 10000, 100000, RR, 0.020, 30.091, 53.742, 80.449, 69.299, 95.022, 
1000, 10000, 100000, FCFS, 0.027, 35.130, 35.207, 151.568, 151.571, 166.911, 
1000, 10000, 1000000, RR, 0.120, 28.207, 51.458, 91.210, 100.263, 252.684, 
1000, 10000, 1000000, FCFS, 0.017, 17.202, 17.207, 130.073, 130.080, 281.679, 
1000, 100000, 10, RR, 0.018, 12.360, 163.067, 378.351, 41.946, 47.806, 
1000, 100000, 10, FCFS, 0.029, 36.007, 36.031, 1013.822, 1013.825, 1014.291, 
1000, 100000, 100, RR, 0.030, 37.079, 174.433, 415.871, 55.401, 63.060, 
1000, 100000, 100, FCFS, 0.021, 44.916, 44.919, 1090.504, 1090.511, 1091.075, 
1000, 100000, 1000, RR, 0.023, 33.508, 167.697, 392.669, 41.255, 50.851, 
1000, 100000, 1000, FCFS, 0.031, 38.886, 38.890, 1210.589, 1210.611, 1214.211, 
1000, 100000, 10000, RR, 0.051, 51.114, 172.365, 457.645, 59.974, 65.646, 
1000, 100000, 10000, FCFS, 0.020, 34.627, 34.654, 1113.070, 1113.074, 1114.721, 
1000, 100000, 100000, RR, 0.021, 39.408, 164.346, 385.326, 84.172, 100.871, 
1000, 100000, 100000, FCFS, 0.026, 19.595, 19.607, 1002.389, 1002.393, 1026.662, 
1000, 100000, 1000000, RR, 0.016, 48.225, 332.701, 532.621, 294.565, 468.971, 
1000, 100000, 1000000, FCFS, 0.021, 33.103, 33.106, 1003.421, 1003.425, 1155.072, 
1000, 1000000, 10, RR, 0.018, 12.712, 1271.540, 3360.342, 29.403, 43.292, 
1000, 1000000, 10, FCFS, 0.022, 42.925, 42.947, 11102.256, 11102.263, 11102.843, 
1000, 1000000, 100, RR, 0.013, 50.575, 1296.057, 3244.191, 55.815, 65.028, 
1000, 1000000, 100, FCFS, 0.026, 26.310, 26.318, 11109.718, 11109.746, 11110.180, 
1000, 1000000, 1000, RR, 0.024, 37.841, 1199.423, 3380.262, 46.780, 58.887, 
1000, 1000000, 1000, FCFS, 0.025, 31.440, 31.448, 11213.762, 11213.765, 11214.268, 
1000, 1000000, 10000, RR, 0.020, 25.061, 1220.885, 3308.623, 36.261, 42.183, 
